股票,成交额排序,当日成交额美元,旧版状态,旧版条件数,新版状态,形态,底部确认,底部确认日,支撑区下沿,对照说明
MRK,36,4576174431.91,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,141.3775,旧版也确认双底，但展示/突破要求不同
CSCO,37,4516254601.68,入场就绪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-18,105.84352747952752,旧版也确认双底，但展示/突破要求不同
JNJ,38,4344143689.83,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
COIN,39,4238948946.75,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-18,159.7144230960368,旧版也确认双底，但展示/突破要求不同
ASML,40,4229632019.36,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,1565.039475306132,旧版也确认双底，但展示/突破要求不同
MPC,41,4185180946.2599998,已突破但条件不完整,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,367.72700000000003,旧版也确认双底，但展示/突破要求不同
VLO,42,3834354394.08,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CAT,43,3766133214.48,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,770.962671781011,旧版也确认双底，但展示/突破要求不同
GEV,44,3754795990.46,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,830.0834646882513,旧版也确认双底，但展示/突破要求不同
COST,45,3741748490.87,等待突破,3,结构已破坏，不入选,尚无确认形态,False,2026-09-11,897.9969,旧版认出双底，共享逻辑未通过，需核图
KLAC,46,3551885762.15,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-18,160.71843020907914,旧版也确认双底，但展示/突破要求不同
APP,47,3363632897.54,已突破但条件不完整,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-14,281.5395658492175,旧版也确认双底，但展示/突破要求不同
GE,48,3279590983.68,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
AMGN,49,3265269626.25,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
UNH,50,3227508146.8999996,风险否决,4,底部已确认，等待突破,多底支撑,True,2026-09-02,372.3151,旧版也确认双底，但展示/突破要求不同
MRNA,51,3115261366.68,等待突破,3,已越线，突破尚未确认,三推回调＋多底支撑,True,2026-09-14,116.37986815000873,旧版也确认双底，但展示/突破要求不同
BKNG,52,3078232931.2000003,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
MA,53,3074772203.36,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
IBM,54,3059679984.25,入场就绪,4,曾突破，现回到趋势线附近或下方,三推回调＋多底支撑,True,2026-09-10,224.39804181099746,旧版也确认双底，但展示/突破要求不同
TMO,55,2802320967.15,双底已确认,2,已突破，继续观察,多底支撑,True,2026-09-14,581.5344,旧版也确认双底，但展示/突破要求不同
CRCL,56,2787123643.2,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
PSX,57,2776897960.98,突破后跟踪,4,已突破，继续观察,多底支撑,True,2026-09-16,240.56,旧版也确认双底，但展示/突破要求不同
ABT,58,2775489065.54,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
C,59,2663193191.94,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
NOW,60,2607125162.39,等待突破,3,底部已确认，等待突破,多底支撑,True,2026-09-15,129.25247139088,旧版也确认双底，但展示/突破要求不同
ADBE,61,2527814212.8399997,双底已确认,2,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
GILD,62,2453005902.7900004,等待突破,3,底部已确认，等待突破,多底支撑,True,2026-09-17,138.8846,旧版也确认双底，但展示/突破要求不同
KO,63,2446719689.25,等待突破,3,已突破，继续观察,多底支撑,True,2026-09-11,85.0981,旧版也确认双底，但展示/突破要求不同
COP,64,2421617700.1800003,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CRDO,65,2339054168.8799996,风险否决,4,曾突破，现回到趋势线附近或下方,三推回调＋多底支撑,True,2026-09-16,144.80116481835825,旧版也确认双底，但展示/突破要求不同
INTU,66,2330476301.99,双底已确认,2,结构已破坏，不入选,尚无确认形态,False,2026-09-14,306.19160526325203,旧版认出双底，共享逻辑未通过，需核图
HCA,67,2328496011.0,等待突破,3,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-17,384.5068946384136,旧版也确认双底，但展示/突破要求不同
BMY,68,2322576796.26,等待突破,3,支撑区深扫，暂不入选,尚无确认形态,False,2026-09-02,63.1761,旧版认出双底，共享逻辑未通过，需核图
TJX,69,2248468346.44,形态失效,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
VZ,70,2182015510.29,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
FTNT,71,2163690776.7200003,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
WFC,72,2152688159.48,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
ALAB,73,2140787310.0,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-17,244.75145121650013,旧版也确认双底，但展示/突破要求不同
ANET,74,2135063534.03,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,175.69454812922004,旧版也确认双底，但展示/突破要求不同
T,75,2122666062.0,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
IREN,76,2113801570.8,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
ABBV,77,2111758132.1599998,等待突破,3,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-11,244.76010000000002,旧版也确认双底，但展示/突破要求不同
TSEM,78,2092881466.0,入场就绪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,184.0363579208272,旧版也确认双底，但展示/突破要求不同
RDDT,79,2092181793.1,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-14,134.5840331894186,旧版也确认双底，但展示/突破要求不同
PFE,80,2086506237.9,等待突破,3,底部已确认，等待突破,多底支撑,True,2026-09-17,26.578,旧版也确认双底，但展示/突破要求不同
ACN,81,2083238197.6799998,等待突破,3,底部已确认，等待突破,多底支撑,True,2026-09-14,173.79157024656755,旧版也确认双底，但展示/突破要求不同
MELI,82,2077638899.93,等待突破,3,支撑区深扫，暂不入选,尚无确认形态,False,2026-09-14,1834.2243886046808,旧版认出双底，共享逻辑未通过，需核图
RKLB,83,2072935973.5699997,风险否决,4,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-16,58.39161093366323,旧版也确认双底，但展示/突破要求不同
TTD,84,2058300190.56,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
DAL,85,1981254844.0800002,风险否决,4,已越线，突破尚未确认,三推回调＋多底支撑,True,2026-09-18,73.71029999999999,旧版也确认双底，但展示/突破要求不同
DIS,86,1964182644.76,等待突破,3,结构已破坏，不入选,尚无确认形态,False,2026-09-11,102.9558,旧版认出双底，共享逻辑未通过，需核图
SWKS,87,1962568188.2800002,突破后跟踪,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-01,62.01183022617837,旧版也确认双底，但展示/突破要求不同
ETN,88,1957663409.97,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,370.9043301450771,旧版也确认双底，但展示/突破要求不同
VRT,89,1950455747.34,风险否决,4,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CVS,90,1942848800.68,风险否决,4,结构已破坏，不入选,尚无确认形态,False,2026-09-11,90.09013369639682,旧版认出双底，共享逻辑未通过，需核图
BA,91,1942503893.1999998,等待突破,3,结构已破坏，不入选,尚无确认形态,False,2026-09-14,202.439,旧版认出双底，共享逻辑未通过，需核图
REGN,92,1940621679.7,等待突破,3,已突破，继续观察,三推回调＋多底支撑,True,2026-09-17,755.7076000000001,旧版也确认双底，但展示/突破要求不同
HUBS,93,1931423161.08,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
DVN,94,1922589519.37,入场就绪,4,曾突破，现回到趋势线附近或下方,三推回调＋多底支撑,True,2026-09-09,44.7752,旧版也确认双底，但展示/突破要求不同
ISRG,95,1914648234.03,已突破但条件不完整,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
ARM,96,1909883592.6000001,风险否决,4,已突破，继续观察,三推回调＋多底支撑,True,2026-09-16,223.2275666105792,旧版也确认双底，但展示/突破要求不同
RTX,97,1909348388,等待突破,3,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
CORT,98,1895979949.4,等待突破,3,底部已确认，等待突破,多底支撑,True,2026-09-15,104.11934626587052,旧版也确认双底，但展示/突破要求不同
SCHW,99,1887081138.0,双底已确认,2,底部未确认，不入选,尚无确认形态,False,,,旧版认出双底，共享逻辑未通过，需核图
WELL,100,1884686088.15,双底已确认,2,底部已确认，等待突破,三推回调＋多底支撑,True,2026-09-17,226.51440000000002,旧版也确认双底，但展示/突破要求不同
